name,email,phone
Cprime | Radtac,learn@cprime.com,(877) 753-2760
Gladwell,info@gladwellacademy.com,+3120 2402244 / +91 96862 25151
Project & Team,hello@projectandteam.com,+1 (833) 431-0442
Elevate.To,safe@elevate.to,970-690-4290
Accenture | SolutionsIQ,solutionsiq@accenture.com,(425) 519-6697
ICON Agility Services,lou.hawn@iconagility.com,(636) 530-7776
KEGON AG,antje.schuck@kegon.de,+49 611 20 50 80
Agile Rising,info@agilerising.com,412-212-8570
CyberBahn Federal Solutions,info@cyberbahntas.com,+1 (800) 557 7884
Nitor,courses@nitor.com,(358) 456563001
AgileSparks,contact@agilesparks.com,(617) 564-0455
Ivar Jacobson International,cstephenson@ivarjacobson.com,+44 (0)207 953 9784
Temenos+Agility,susan@visiontemenos.com,(312) 953 6754
Capgemini,david.ferreira@capgemini.com,+33 662273551
PA Consulting,goagile@paconsulting.com,442077309000
KnowledgeHut Solutions Pvt. Ltd.,support@knowledgehut.com,1800-121-9232 (Toll Free)
Applied Frameworks (Gold SPCT Partner),pgardiner@appliedframeworks.com,(877) 505-3684
Enterprise Agility,vkapila@enterpriseagility.consulting,(804) 833-9639
Pretty Agile,gosafe@prettyagile.com,1300 723 369 or +61 3 8592 1994
Flow Sphere,info@flowsphere.ch,+41 56 496 15 15
CGI,steven.lacroix@cgi.com,1-514-841-3200
Northrop Grumman,engineering.excellence@ngc.com,(703) 371-6673
TEKsystems Global Services,agile@teksystems.com,
Micro Focus,training.apj@microfocus.com,+61 2 8281 3423
Prowareness Group,info@prowareness.com,(646) 707-5042
