name,email,phone
Cprime | Radtac,learn@cprime.com,(877) 753-2760
Gladwell,info@gladwellacademy.com,+3120 2402244 / +91 96862 25151
Project & Team,hello@projectandteam.com,+1 (833) 431-0442
Elevate.To,safe@elevate.to,970-690-4290
Accenture | SolutionsIQ,solutionsiq@accenture.com,(425) 519-6697
ICON Agility Services,lou.hawn@iconagility.com,(636) 530-7776
KEGON AG,antje.schuck@kegon.de,+49 611 20 50 80
Agile Rising,info@agilerising.com,412-212-8570
CyberBahn Federal Solutions,info@cyberbahntas.com,+1 (800) 557 7884
AgileSparks,contact@agilesparks.com,(617) 564-0455
Nitor,courses@nitor.com,(358) 456563001
Ivar Jacobson International,cstephenson@ivarjacobson.com,+44 (0)207 953 9784
Temenos+Agility,susan@visiontemenos.com,(312) 953 6754
Capgemini,david.ferreira@capgemini.com,+33 662273551
PA Consulting,goagile@paconsulting.com,442077309000
KnowledgeHut Solutions Pvt. Ltd.,support@knowledgehut.com,1800-121-9232 (Toll Free)
Applied Frameworks (Gold SPCT Partner),pgardiner@appliedframeworks.com,(877) 505-3684
Enterprise Agility,vkapila@enterpriseagility.consulting,(804) 833-9639
Pretty Agile,gosafe@prettyagile.com,1300 723 369 or +61 3 8592 1994
Flow Sphere,info@flowsphere.ch,+41 56 496 15 15
CGI,steven.lacroix@cgi.com,1-514-841-3200
Northrop Grumman,engineering.excellence@ngc.com,(703) 371-6673
TEKsystems Global Services,agile@teksystems.com,
Micro Focus,training.apj@microfocus.com,+61 2 8281 3423
Prowareness Group,info@prowareness.com,(646) 707-5042
International Business Consultants (Gold SPCT Partner),support@ibconsultants.net,(408) 888-7223
wibas GmbH,sales@wibas.de,+49-6151-503349-44
Appddiction Studio,tporter@appddictionstudio.com,
Publicis Sapient France,training@publicissapient.com,+33(1) 53 89 99 93 / +33(6) 52 45 21 73
Elabor8,academy@elabor8.com.au,1300 352 278
Business Driven Development,ola.gedenryd@bdd.se,+46 709 851 825
We Are Movement,,+46 8 512 565 50
Digital Tango,info@digitaltango.ca,
Value Glide,hello@valueglide.com,+44 20 8185 7789
Agile Big Picture,connect@agilebigpicture.com,603-213-2377
NTT DATA Corporation,safe@kits.nttdata.co.jp,
The Boeing Company,,(314) 943-6412
Infosys Limited,promod_kasinadhuni@infosys.com,+919008305027
Raytheon,,(571) 308-8148
Cognizant Technology Solutions,allen.ringel@cognizant.com,(916) 494-3813
IBM,,(803) 608-0512
PwC,melissa.siekierski@pwc.com,(312) 961-6784
Slalom Consulting,sales@slalom.com,(206) 438-5700
Lockheed Martin,scaledagile.dl-lm@groups.lmco.com,(817) 763-2630
FUJITSU LIMITED,contact-safe@cs.jp.fujitsu.com,+81-44-777-1111
Polarion,sales@polarion.com,
HCL Technologies - Digital Business,bharat.shah@hcl.com,(313)808-0355
DXC Technology,safe@dxc.com,
EPAM Systems Inc.,,+375 17 389-01-00
TDC SOFT Inc.,safe@tdc.co.jp,+81-3-6730-8111
Atos Netherlands,,+31(0)88 265 5555
Sopra Steria Group,mathieu.larive@soprasteria.com,()
UST,omar.velasco@ust.com,(949) 397-7980
"CapTech Consulting, Inc.",rcuce@captechconsulting.com,(804) 370-8377
Ernst & Young US LLP,,(404) 539-7559
Advance Agility,contact@advanceagility.com,+1 339 203 9900
Peraton Inc.,,
Inspearit,info.fr@inspearit.com,+33 1 80 06 84 33
Lean Agile Solution,info@leanagilesolution.com,203 768 2699
Agilizing Ltd,wendy.tang@agilizing.com,852 9405 4808
BigBear.ai,agile@bigbear.ai,410-312-0885
Tech Mahindra,aparna.gosala@techmahindra.com,()
"Cubic, LLC",,
Leidos,,(858) 663-4191
Science Applications International Corporation (SAIC),susan.c.myers@saic.com,(314) 973-3879
PCCW Global Limited,hongkong@pccwglobal.com,+852 2888 6688
Xebia Academy,academy@xebia.com,+31 (0)35 538 1921
Dimension Data,digitaladvisory@dimensiondata.com,(707) 888-2400
General Dynamics IT,michelle.russo@gdit.com,()
Octo Consulting Group,info@octoconsulting.com,(571) 423-0200
Quint,quint@quintgroup.com,+31 20 3053 701
SwissQ Consulting AG,academy@swissq.it,+41432888840
bridgingIT,scaledagile@bridging-it.de,069150 4298 - 60
AgileLAB,info@agilelab.org,+4917649446954
Parsons,lace@parsons.com,719.452.7810
